(2,2,2,4,4)
(1,1,1,2,2)
(3,3,3,6,6)
(2,2,2,3,3)
(1,0,0,1,1)
(3,3,3,6,6)
(2,2,2,3,3)
(1,1,1,2,2)
(2,1,1,3,3)
(2,2,2,2,2)
(2,1,1,3,3)
(3,4,4,6,6)
(0,0,0,0,0)
(0,0,0,0,0)
(1,1,1,1,1)
(0,0,0,0,0)
(0,1,1,0,0)
(2,3,3,4,4)
(2,3,3,4,4)
(1,0,0,1,1)
(4,5,5,8,8)
(2,2,2,3,3)
(2,3,3,3,3)
(4,4,4,8,8)
(6,7,7,12,12)
(2,2,2,3,3)
(1,1,1,2,2)
(1,1,1,2,2)
(4,5,5,8,8)
(0,0,0,0,0)
(2,2,2,3,3)
(2,2,2,3,3)
(2,3,3,4,4)
(1,0,0,1,1)
(2,1,1,2,2)
(3,2,2,5,5)
(2,1,1,3,3)
(3,4,4,6,6)
(2,3,3,4,4)
(4,4,4,8,8)
(0,0,0,0,0)
(2,1,1,3,3)
(1,0,0,1,1)
(2,2,2,4,4)
(2,1,1,3,3)
(0,0,0,0,0)
(3,3,3,4,4)
(2,2,2,3,3)
(4,3,3,6,6)
(1,1,1,2,2)
(1,1,1,2,2)
(5,5,5,9,9)
(2,2,2,3,3)
(0,0,0,0,0)
(1,1,1,2,2)
(4,5,5,7,8)
(1,1,1,2,2)
(2,2,2,3,3)
(3,4,4,6,8)
(3,1,1,4,4)
(4,3,3,7,7)
(1,1,1,2,2)
(3,2,2,5,5)
(2,3,3,4,4)
(4,3,3,7,7)
(2,3,3,4,6)
(0,0,0,0,0)
(0,0,0,0,0)
(2,1,1,3,3)
(3,3,3,5,5)
(3,1,1,4,4)
(1,1,1,2,2)
(0,0,0,0,0)
(4,4,4,7,9)
(2,2,2,4,4)
(1,0,0,1,1)
(4,5,5,7,9)
(3,2,2,4,4)
(2,0,0,2,2)
(2,1,1,3,3)
(0,1,1,0,0)
(1,1,1,1,1)
(1,0,0,1,1)
(2,3,3,4,4)
(2,0,0,2,2)
(1,0,0,1,1)
(0,1,1,0,0)
(1,0,0,1,1)
(3,3,3,5,5)
(1,1,1,2,2)
(2,0,0,2,2)
(3,1,1,4,4)
(3,3,3,5,5)
(2,1,1,2,2)
(3,3,3,5,5)
(3,3,3,6,6)
(1,1,1,1,1)
(1,0,0,1,1)
(2,2,2,2,2)
(3,2,2,5,5)
(2,2,2,3,3)
(2,2,2,3,3)
(5,5,5,9,10)
(3,3,3,6,6)
(3,3,3,5,5)
(2,2,2,4,4)
(3,2,2,5,5)
(1,0,0,1,1)
(2,3,3,3,5)
(1,0,0,1,1)
(2,3,3,3,5)
(4,4,4,7,8)
(3,2,2,5,5)
(2,1,1,2,2)
(2,2,2,3,3)
(4,5,5,8,10)
(3,5,5,5,7)
(1,2,2,1,1)
(0,0,0,0,0)
(4,4,4,6,8)
(0,0,0,0,0)
(4,4,4,8,8)
(1,1,1,1,1)
(5,4,4,9,9)
(3,4,4,6,6)
(4,4,4,8,8)
(3,4,4,6,6)
(3,3,3,6,6)
(3,2,2,4,4)
(2,2,2,3,3)
(2,0,0,2,2)
(3,4,4,6,7)
(4,3,3,7,7)
(3,5,5,6,8)
(5,3,3,8,8)
(2,1,1,2,2)
(2,1,1,2,2)
(1,1,1,2,2)
(2,3,3,3,3)
(3,3,3,4,4)
(6,6,6,11,11)
(4,3,3,7,7)
(4,3,3,6,6)
(2,3,3,4,4)
(2,2,2,3,5)
(2,3,3,4,4)
(4,4,4,7,7)
(4,5,5,7,7)
(4,5,5,8,10)
(1,2,2,2,2)
(2,1,1,3,3)
(2,2,2,3,3)
(3,3,3,5,7)
(2,3,3,4,4)
(2,2,2,4,4)
(5,5,5,9,9)
(3,3,3,5,5)
(3,4,4,5,7)
(2,2,2,3,3)
(3,1,1,4,4)
(1,1,1,1,1)
(2,2,2,3,3)
(3,3,3,6,6)
(1,1,1,1,1)
(5,4,4,9,9)
(4,4,4,7,7)
(2,1,1,3,3)
(4,4,4,6,7)
(6,6,6,11,11)
(1,1,1,1,1)
(6,6,6,10,12)
(0,1,1,0,0)
(3,4,4,5,7)
(4,3,3,6,7)
(2,3,3,4,6)
(3,2,2,5,5)
(1,2,2,1,1)
(2,2,2,3,3)
(2,2,2,3,3)
(2,2,2,2,2)
(4,4,4,7,7)
(3,3,3,5,6)
(4,5,5,6,6)
(3,1,1,4,4)
(3,3,3,5,5)
(0,1,1,0,0)
(1,0,0,1,1)
(4,4,4,8,8)
(5,9,9,10,14)
(2,3,3,3,5)
(3,3,3,6,6)
(4,6,6,7,12)
(3,3,3,4,5)
(2,0,0,2,2)
(4,3,3,7,7)
(1,0,0,1,1)
(0,0,0,0,0)
(3,4,4,4,6)
(1,1,1,2,2)
(5,6,6,9,11)
(5,4,4,9,9)
(5,5,5,10,10)
(2,3,3,4,4)
(2,0,0,2,2)
(6,6,6,12,12)
(4,3,3,6,7)
(2,1,1,3,3)
(1,1,1,2,2)
(4,6,6,8,12)
(4,4,4,7,7)
(5,8,8,9,12)
(4,4,4,8,8)
(1,1,1,2,2)
(8,10,10,15,17)
(9,9,9,16,18)
(4,5,5,6,10)
(1,0,0,1,1)
(4,6,6,6,8)
(3,2,2,5,5)
(5,5,5,9,10)
(4,4,4,7,7)
(3,1,1,4,4)
(4,6,6,6,10)
(2,2,2,3,3)
(9,10,10,18,18)
(6,7,7,11,12)
(2,3,3,3,4)
(3,2,2,5,5)
(3,4,4,4,6)
(2,2,2,4,4)
(3,3,3,6,6)
(6,8,8,12,14)
(2,2,2,3,3)
(5,5,5,9,10)
(0,1,1,0,0)
(5,5,5,9,9)
(3,4,4,6,6)
(7,9,9,13,17)
(7,8,8,14,14)
(3,3,3,6,6)
(3,3,3,4,4)
(4,5,5,8,8)
(5,6,6,9,9)
(3,4,4,5,9)
(6,6,6,10,10)
(3,4,4,6,6)
(3,2,2,5,5)
(4,4,4,6,8)
(5,6,6,10,12)
(5,5,5,9,10)
(4,4,4,7,7)
(3,3,3,4,6)
(2,3,3,4,4)
(6,6,6,11,11)
(5,8,8,10,16)
(3,3,3,5,5)
(4,2,2,6,6)
(2,1,1,2,2)
(3,3,3,4,4)
(3,2,2,5,5)
(11,13,13,21,24)
(4,4,4,7,7)
(2,4,4,4,6)
(3,4,4,6,6)
(3,4,4,4,6)
(4,4,4,8,8)
(6,6,6,12,12)
(1,2,2,2,2)
(4,6,6,8,10)
(4,5,5,7,10)
(5,6,6,10,12)
(3,3,3,4,6)
(4,3,3,7,7)
(4,5,5,7,7)
(4,3,3,7,7)
(3,4,4,6,6)
(3,3,3,5,5)
(3,3,3,5,5)
(2,1,1,3,3)
(3,5,5,5,9)
(3,2,2,4,4)
(3,3,3,5,5)
(2,1,1,3,3)
(4,4,4,7,8)
(5,5,5,9,10)
(4,4,4,7,8)
(3,2,2,4,4)
(4,5,5,6,9)
(5,6,6,10,12)
(7,9,9,13,15)
(3,2,2,4,4)
(3,2,2,5,5)
(3,4,4,5,6)
(3,3,3,5,7)
(6,5,5,11,11)
(5,4,4,8,8)
(1,1,1,1,1)
(1,1,1,1,1)
(5,3,3,8,8)
(5,4,4,8,8)
(6,7,7,11,14)
(3,5,5,6,8)
(5,5,5,8,9)
(4,5,5,7,8)
(5,9,9,9,15)
(3,5,5,5,7)
(5,8,8,9,13)
(9,9,9,18,18)
(5,7,7,10,13)
(3,3,3,5,6)
(8,8,8,15,15)
(4,7,7,8,10)
(4,5,5,6,9)
(2,1,1,2,2)
(9,9,9,17,19)
(7,8,8,13,15)
(6,7,7,12,12)
(6,6,6,10,12)
(6,6,6,11,11)
(8,9,9,15,18)
(6,5,5,10,10)
(3,6,6,6,8)
(6,7,7,12,12)
(5,5,5,9,10)
(5,6,6,9,12)
(6,6,6,11,11)
(3,5,5,5,8)
(2,1,1,3,3)
(8,9,9,16,16)
(2,2,2,3,3)
(9,9,9,16,18)
(9,8,8,17,17)
(4,3,3,7,7)
(5,9,9,9,14)
(3,3,3,6,6)
(5,5,5,9,10)
(4,3,3,7,7)
(1,1,1,1,1)
(4,3,3,6,6)
(5,6,6,9,10)
(1,1,1,2,2)
(4,4,4,7,7)
(3,3,3,4,6)
(6,6,6,12,12)
(3,3,3,5,5)
(5,7,7,8,14)
(3,4,4,4,6)
(5,5,5,9,10)
(7,7,7,13,13)
(3,4,4,5,5)
(3,3,3,6,6)
(7,8,8,13,16)
(5,4,4,9,9)
(4,3,3,7,7)
(2,2,2,2,4)
(8,8,8,15,15)
(8,9,9,15,18)
(6,11,11,12,20)
(5,7,7,10,11)
(2,3,3,4,4)
(6,5,5,10,10)
(4,5,5,7,10)
(3,3,3,5,5)
(3,4,4,5,9)
(6,9,9,10,14)
(7,8,8,14,14)
(8,9,9,15,18)
(7,7,7,13,13)
(3,4,4,5,7)
(6,7,7,12,14)
(3,3,3,6,6)
(3,4,4,5,7)
(5,4,4,9,9)
(6,6,6,12,12)
(8,10,10,15,19)
(3,1,1,4,4)
(2,1,1,3,3)
(4,3,3,6,6)
(2,3,3,3,3)
(3,4,4,5,5)
(5,5,5,9,9)
(7,7,7,12,13)
